"Var1","Var2","Freq"
"C1qb","Dana_KO",6
"Car1","Dana_KO",3003
"Ccl5","Dana_KO",2
"CD34","Dana_KO",679
"Cd74","Dana_KO",7
"Fcnb","Dana_KO",318
"Fcrla","Dana_KO",0
"Gstm1/CD63","Dana_KO",657
"Gstm1/Ly86","Dana_KO",137
"Hba-a2","Dana_KO",318
"Ltf","Dana_KO",221
"Ly86","Dana_KO",553
"Pf4","Dana_KO",1782
"Prg2","Dana_KO",25
"Prss34","Dana_KO",1
"Siglech","Dana_KO",1
"Unannotated","Dana_KO",175
"Vpreb1","Dana_KO",4
"C1qb","Dana_WT",7
"Car1","Dana_WT",2210
"Ccl5","Dana_WT",9
"CD34","Dana_WT",1076
"Cd74","Dana_WT",56
"Fcnb","Dana_WT",180
"Fcrla","Dana_WT",6
"Gstm1/CD63","Dana_WT",621
"Gstm1/Ly86","Dana_WT",306
"Hba-a2","Dana_WT",294
"Ltf","Dana_WT",50
"Ly86","Dana_WT",1326
"Pf4","Dana_WT",222
"Prg2","Dana_WT",37
"Prss34","Dana_WT",337
"Siglech","Dana_WT",5
"Unannotated","Dana_WT",143
"Vpreb1","Dana_WT",21
