"Var1","Var2","Freq"
"0","Dana_KO",601
"1","Dana_KO",1070
"2","Dana_KO",1348
"3","Dana_KO",1146
"4","Dana_KO",1310
"5","Dana_KO",2
"6","Dana_KO",476
"7","Dana_KO",403
"8","Dana_KO",992
"9","Dana_KO",3
"10","Dana_KO",53
"11","Dana_KO",191
"12","Dana_KO",232
"13","Dana_KO",9
"14","Dana_KO",50
"15","Dana_KO",3
"0","Dana_WT",1597
"1","Dana_WT",919
"2","Dana_WT",4
"3","Dana_WT",187
"4","Dana_WT",7
"5","Dana_WT",1174
"6","Dana_WT",665
"7","Dana_WT",649
"8","Dana_WT",1
"9","Dana_WT",657
"10","Dana_WT",587
"11","Dana_WT",120
"12","Dana_WT",54
"13","Dana_WT",232
"14","Dana_WT",3
"15","Dana_WT",50
