"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Mrpl15","OK",0,77.9075148533853,0.189036642162172,"Mrpl15",0
"Tcea1","OK",0,40.6243866488245,0.0985432517971133,"Tcea1",0
"Rrs1","OK",0,86.3142796907643,0.209451748351958,"Rrs1",0
"Sgk3","OK",0,88.2690326204488,0.214195025211357,"Sgk3",0
"Snhg6","OK",0,38.9015253814989,0.0943619145499364,"Snhg6",0
"Ppp1r42","OK",0,146.068949294414,0.352703322002011,"Ppp1r42",0
"Cops5","OK",0,51.3643592450189,0.124610620146554,"Cops5",0
"Tram1","OK",0,73.0421800359417,0.177229723069469,"Tram1",0
"Terf1","OK",0,52.0556788830904,0.126292218818441,"Terf1",0
"Rpl7","OK",0,226.595450377302,0.548676613168155,"Rpl7",0
"Ube2w","OK",0,62.9448998691576,0.152725126779694,"Ube2w",0
"Eloc","OK",0,81.9277671585863,0.198789302100818,"Eloc",0
"Tmem70","OK",0,38.3683676139721,0.0930686752000235,"Tmem70",0
"Mcm3","OK",0,154.277042238274,0.374414486037183,"Mcm3",0
"Ogfrl1","OK",0,70.5463034093083,0.171174241393112,"Ogfrl1",0
"Smap1","OK",0,42.8257782910746,0.103886448674321,"Smap1",0
"Ptp4a1","OK",0,41.9241043589551,0.101699990056472,"Ptp4a1",0
"Prim2","OK",0,78.5552305858773,0.19061630005035,"Prim2",0
"Bag2","OK",0,96.5332256842059,0.234255339160146,"Bag2",0
"Imp4","OK",0,52.8306811373811,0.128173248300281,"Imp4",0
"Ptpn18","OK",0,199.708787748662,0.484621467745199,"Ptpn18",0
"Hs6st1","OK",0,56.5424573296109,0.137166853108746,"Hs6st1",0
"Uggt1","OK",0,39.2394193031,0.0951826855090286,"Uggt1",0
"Neurl3","OK",0,42.398701566868,0.102842835559794,"Neurl3",0
"Arid5a","OK",0,84.8533030235643,0.205882100776112,"Arid5a",0
"Cox5b","OK",0,145.783915205947,0.35366436058475,"Cox5b",0
"Mrpl30","OK",0,85.7241030495874,0.208000875649239,"Mrpl30",0
"Eif5b","OK",0,90.5854660929799,0.219787931580721,"Eif5b",0
"Aff3","OK",0,69.5610911652876,0.168778375493999,"Aff3",0
"Rpl31","OK",0,197.285899790545,0.478389824426159,"Rpl31",0
"Map4k4","OK",0,75.4711480769964,0.183130758315926,"Map4k4",0
